,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
35,Tô pra Ver,Ainda Há Tempo,Criolo,2016-05-06,254533,0,0.645,0.184,0.645,0.814,0.0,0.095,-6.85,0.286,90.321,4
36,Hoje Cedo,O Glorioso Retorno de Quem Nunca Esteve Aqui,Emicida,2014-01-25,194080,0,0.677,0.0447,0.677,0.828,0.0,0.136,-5.035,0.322,161.96,4
37,Aterrissagem Forçada,5696,Sid,2018-02-23,216758,24,0.642,0.32,0.642,0.85,0.0,0.12,-5.127,0.229,124.094,4
38,"Autobiografia, Pt. 1",5696,Sid,2018-02-23,183768,39,0.678,0.834,0.678,0.719,0.0,0.448,-6.54,0.284,95.091,4
39,Arrogância (Interlúdio),5696,Sid,2018-02-23,95927,23,0.82,0.448,0.82,0.774,0.0,0.087,-6.475,0.37,113.385,4
40,Favela Vive,Favela Vive,ADL,2016-09-20,349748,0,0.765,0.666,0.765,0.471,0.0,0.105,-11.903,0.419,77.995,4
41,Favela Vive 2,Favela Vive 2,Various Artists,2017-02-24,422857,0,0.713,0.0545,0.713,0.567,8.17e-06,0.179,-4.073,0.12,104.684,4
42,Levanta e Anda,O Glorioso Retorno de Quem Nunca Esteve Aqui,Emicida,2013,150439,56,0.488,0.0907,0.488,0.931,0.0,0.446,-4.185,0.327,87.33,4
43,Tipo Charles,Realismo Sujo,Gigante No Mic,2020-09-11,242625,10,0.921,0.514,0.921,0.585,0.0,0.0921,-9.121,0.275,120.026,4
44,De Volta Para o Futuro,Tupi Or Not Tupi,Fabio Brazza,2016-08-16,266426,37,0.61,0.3,0.61,0.857,0.0,0.0752,-5.906,0.416,150.055,4
45,O Rap Tá Pop,O Rap Tá Pop,Fabio Brazza,2017,283062,27,0.875,0.187,0.875,0.806,0.0,0.122,-5.727,0.177,100.575,4
