,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
30,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol.3",Ludwig van Beethoven,2007-09-25,315426,67,0.184,0.995,0.184,0.00527,0.887,0.173,-37.264,0.0432,170.612,3
31,"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",Tchaikovsky: Swan Lake,Pyotr Ilyich Tchaikovsky,1976,166866,63,0.136,0.911,0.136,0.164,0.916,0.109,-18.756,0.0364,58.303,4
32,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas Nos. 8, 14 and 23",Ludwig van Beethoven,1988-03-07,315200,52,0.205,0.995,0.205,0.00644,0.872,0.115,-38.382,0.0604,163.137,3
33,"Hungarian Dance No.5 In G Minor, WoO 1 No. 5",Brahms: 21 Hungarian Dances,Johannes Brahms,1984-01-01,138706,0,0.358,0.899,0.358,0.167,0.96,0.103,-16.0,0.0354,144.561,4
34,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",Handel Sarabande,George Frideric Handel,2002,207266,63,0.0939,0.927,0.0939,0.0336,0.83,0.0954,-24.041,0.0606,67.359,3
35,"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",Schubert: Impromptus Opp.90 & 142,Franz Schubert,1983-01-01,497773,0,0.343,0.987,0.343,0.0209,0.922,0.126,-27.015,0.0398,125.242,3
36,Première Gymnopédie,Satie: Avant-dernières pensées (Bonus Track Version),Erik Satie,2009-01-20,204266,55,0.594,0.995,0.594,0.00544,0.952,0.0814,-35.422,0.07,76.497,3
37,Jazz Suite No. 2: VI. Waltz 2,Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,Dmitri Shostakovich,2002-04-15,193600,58,0.322,0.984,0.322,0.184,0.902,0.0813,-18.312,0.0338,107.847,4
38,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Liszt: Scherzo and March / 3 Liebestraume / Berceuse,Franz Liszt,1998-03-05,270000,58,0.343,0.991,0.343,0.0342,0.92,0.1,-25.591,0.0406,60.228,3
39,"Le Nozze di Figaro, K. 492: Sinfonia",Mozart: Le nozze di Figaro,Wolfgang Amadeus Mozart,2004,251200,50,0.385,0.84,0.385,0.0738,0.947,0.155,-19.369,0.0439,142.337,4
40,"Serenade for String Orchestra in E major, Op. 22, II. Tempo di Valse","Dvořák: Serenade for Strings, Czech Suite",Antonín Dvořák,1977-01-01,432533,0,0.0,0.755,0.0,0.0842,0.889,0.262,-19.397,0.0,0.0,0
41,"Für Elise, WoO 59",Beethoven Greatest Hits,Ludwig van Beethoven,1991-11-09,188466,61,0.303,0.994,0.303,0.108,0.877,0.0805,-27.433,0.0473,126.931,3
42,"An der schönen blauen Donau, Op. 314","Strauss, J.: An der schönen blauen Donau (The Blue Danube)",Johann Strauss II,1982-01-01,707173,58,0.233,0.975,0.233,0.0252,0.601,0.143,-24.824,0.0346,94.736,4
43,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: Allegro non troppo e molto maestoso",Tchaikovsky: Concerto No. 1/Rachmaninoff: Concerto No. 2,Van Cliburn,1987,1240600,40,0.265,0.976,0.265,0.169,0.871,0.0903,-16.814,0.036,81.013,4
44,"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato","Rachmaninoff: Piano Concerto No. 2 in C Minor, Op. 18 & Piano Concerto No. 3 in D Minor, Op. 30",Sergei Rachmaninoff,2017-03-10,599653,46,0.124,0.972,0.124,0.106,0.919,0.0802,-22.245,0.0394,78.658,4
